,Address,Name,Store,Zip
0,7747 Kirby Dr,Kroger Pharmacy,Kroger,77030
1,3300 Montrose Blvd,Kroger Pharmacy,Kroger,77006
2,5150 Buffalo Speedway,Kroger,Kroger,77005
3,1352 W 43rd St,Kroger,Kroger,77018
4,3300 Montrose Blvd,Kroger Fresh Fare,Kroger,77006
5,1990 Old Spanish Trl,Kroger,Kroger,77054
6,7747 Kirby Dr,Kroger,Kroger,77030
7,1440 Studemont St,Kroger,Kroger,77007
8,4000 Polk St,Kroger,Kroger,77023
9,1035 N Shepherd Dr,Kroger,Kroger,77008
10,1938 W Gray St,Kroger,Kroger,77019
11,6350 Telephone Rd,Kroger Pharmacy,Kroger,77087
12,6749 Airline Dr,Kroger,Kroger,77076
13,239 W 20th St,Kroger,Kroger,77008
14,9125 W Sam Houston Pkwy N,Kroger,Kroger,77064
15,9919 Westheimer Rd,Kroger Pharmacy,Kroger,77042
16,11701 S Sam Houston Pkwy E,Kroger Pharmacy,Kroger,77089
17,14221 E Sam Houston Pkwy N,Kroger Marketplace,Kroger,77044
18,6160 Highway 6 N,Kroger,Kroger,77084
19,1805 S Voss Rd,Kroger Fuel Center,Kroger,77057
20,12557 Briar Forest Dr,Kroger Fuel Center,Kroger,77077
21,6350 N Eldridge Pkwy,Kroger Fuel Center,Kroger,77041
22,12434 State Highway 249,Kroger,Kroger,77086
23,1520 Eldridge Pkwy,Kroger,Kroger,77077
24,14710 Woodforest Blvd,Kroger,Kroger,77015
25,12466 Fm 1960 Rd W,Kroger Fuel Center,Kroger,77065
26,14344 Memorial Dr,Kroger,Kroger,77079
27,8550 Highway 6 N,Kroger,Kroger,77095
28,1950 El Dorado Blvd,Kroger,Kroger,77062
29,9919 Westheimer Rd,Kroger,Kroger,77042
0,1801 S Voss Rd,Kroger,Kroger,77057
1,9330 Jones Rd,Kroger,Kroger,77065
2,6350 N Eldridge Pkwy,Kroger,Kroger,77041
3,11701 S Sam Houston Pkwy E,Kroger,Kroger,77089
4,12222 Jones Rd,Kroger,Kroger,77070
5,10010 Cypresswood Dr,Kroger,Kroger,77070
6,10306 S Post Oak Rd,Kroger,Kroger,77035
7,12555 Briar Forest Dr,Kroger,Kroger,77077
8,360 Cypress Creek Pkwy,Kroger,Kroger,77090
9,16400 El Camino Real,Kroger,Kroger,77062
10,5235 Aldine Mail Rd,Kroger,Kroger,77039
11,12620 Woodforest Blvd,Kroger,Kroger,77015
12,1505 Wirt Rd,Kroger,Kroger,77055
13,9325 Katy Fwy,Kroger,Kroger,77024
14,200 W Greens Rd,Kroger,Kroger,77067
15,13133 Veterans Memorial Dr,Kroger,Kroger,77014
16,14344 Memorial Dr,Kroger Floral Dept,Kroger,77079
17,6160 Highway 6 N,Kroger Floral Dept,Kroger,77084
18,808 Travis St,Kroger Elizabeth,Kroger,77002
19,6350 Telephone Rd,Kroger Company - Telephone Rd.,Kroger,77087
20,3100 Weslayan St Ste 300,Kroger & Burrus,Kroger,77027
21,711 Louisiana St,"Kroger, Elizabeth M",Kroger,77002
22,910 Louisiana St,"Kroger, William",Kroger,77002
23,919 Westheimer Rd,Kroger - CLOSED,Kroger,77006
24,3500 Spencer Hwy,Kroger Bakery,Kroger,77504
25,11043 Shadow Creek Pkwy,Kroger Fuel Center,Kroger,77584
26,2619 Red Bluff Rd,Kroger Pharmacy,Kroger,77506
27,8323 Broadway St,Kroger,Kroger,77581
28,3550 Spencer Hwy,Kroger,Kroger,77504
29,19611 Highway 59 N,Kroger,Kroger,77338
0,3820 Atascocita Rd,Kroger,Kroger,77396
1,151 N Friendswood Dr,Kroger,Kroger,77546
2,11565 S Highway 6,Kroger,Kroger,77498
3,6200 Highway 6,Kroger,Kroger,77459
4,15802 Champion Forest Dr,Kroger,Kroger,77379
5,3245 Broadway St,Kroger,Kroger,77584
6,6767 Spencer Hwy,Kroger,Kroger,77505
7,5671 Treaschwig Rd,Kroger,Kroger,77373
8,10250 Highway 6,Kroger,Kroger,77459
9,19300 W Lake Houston Pkwy,Kroger,Kroger,77346
10,2301 Rayford Rd,Kroger,Kroger,77386
11,569 S Mason Rd,Kroger,Kroger,77450
12,17455 Spring Cypress Rd,Kroger,Kroger,77429
13,105 Kennings Rd,Kroger,Kroger,77532
14,3410 Northpark Dr,Kroger,Kroger,77339
15,18030 Fm 529 Rd,Kroger,Kroger,77433
16,22150 Westheimer Pkwy,Kroger,Kroger,77450
17,4825 Sweetwater Blvd,Kroger,Kroger,77479
18,1705 Fry Rd,Kroger Fuel Center,Kroger,77449
